"","Year","Country","Populations","Emissions_Yearly_Total","Emissions_Capita","LAT","LONG","Global_Pop"
"143","X1961","Saudi Arabia",4170636,3571.333333,0.856304250318976,25,45,21162222957
"144","X1961","Denmark",4612789,31731.33333,6.87899085202756,56,10,21162222957
"145","X1961","Grenada",91243,18.33333333,0.200928655714228,12.116667,-61.666667,21162222957
"146","X1961","Swaziland",357459,3.666666667,0.010257586650963,-26.5,31.5,21162222957
"147","X1961","Iceland",179476,1092.666667,6.08809348696576,65,-18,21162222957
"148","X1961","Poland",29436954,207416,7.04610945820006,52,20,21162222957
"149","X1961","Afghanistan",9859928,491.3333333,0.049831330749406,33,66,21162222957
"150","X1961","South Africa",17850139,102204.6667,5.72570704724858,-30,26,21162222957
"151","X1961","Japan",93357272,283092.3333,3.03235438727616,36,138,21162222957
"152","X1961","Guatemala",4273585,1408,0.329465776391484,15.5,-90.25,21162222957
"153","X1961","Jamaica",1652348,2130.333333,1.28927643167985,18.25,-77.5,21162222957
"154","X1961","Algeria",11006643,6064.666667,0.551000579074534,28,3,21162222957
"155","X1961","Sweden",7526139,48847.33333,6.49035758352767,62,15,21162222957
"156","X1961","Germany",73425276,835530.666666667,11.3793330060709,51.5,10.5,21162222957
"157","X1961","Benin",2451123,128.3333333,0.052356953663008,9.5,2.25,21162222957
"158","X1961","Ecuador",4570153,1646.333333,0.360235933749556,-2,-77.5,21162222957
"159","X1961","Spain",30731163,53672.66667,1.74652246863116,40,-4,21162222957
"160","X1961","Sierra Leone",2222029,289.6666667,0.130361334918071,8.5,-11.5,21162222957
"161","X1961","Samoa",113300,18.33333333,0.161812297734628,-13.803096,-172.178309,21162222957
"162","X1961","Cote d'Ivoire",3777543,553.6666667,0.146567932295322,8,-5,21162222957
"163","X1961","Guyana",575863,737,1.27981829011414,5,-59,21162222957
"164","X1961","Dominica",61034,11,0.180227414228135,15.5,-61.333333,21162222957
"165","X1961","Barbados",231574,194.3333333,0.83918459470119,13.166667,-59.533333,21162222957
"166","X1961","Mongolia",983822,1393.333333,1.41624535061559,46,105,21162222957
"167","X1961","Angola",5053693,454.6666667,0.0899672114366,-12.5,18.5,21162222957
"168","X1961","Costa Rica",1381414,491.3333333,0.355674210145064,10,-84,21162222957
"169","X1961","Portugal",8907640,9089.666667,1.02043489259407,39.5,-8,21162222957
"170","X1961","Sri Lanka",10248471,2335.666667,0.22790391529299,7,81,21162222957
"171","X1961","Indonesia",94225771,26022.33333,0.276170022884008,-5,120,21162222957
"172","X1961","France",46280695,281185.6667,6.07565782377872,46,2,21162222957
"173","X1961","United Kingdom",52895303,588885,11.1330300915376,54,-4,21162222957
"174","X1961","Liberia",1142713,161.3333333,0.141184473558394,6.5,-9.5,21162222957
"175","X1961","Suriname",298272,429,1.43828451882845,4,-56,21162222957
"176","X1961","United Arab Emirates",97936,11,0.112318248652181,24,54,21162222957
"177","X1961","Greece",8386326,9823,1.17131148967975,39,22,21162222957
"178","X1961","Israel",2174351,7069.333333,3.25123833885759,31.5,34.75,21162222957
"179","X1961","Cyprus",576469,865.3333333,1.50109257103736,35,33,21162222957
"180","X1961","Mauritania",878589,47.66666667,0.054253657474276,20,-12,21162222957
"181","X1961","Lebanon",1967434,2651,1.34744037157028,33.833333,35.833333,21162222957
"182","X1961","Tonga",63741,11,0.17257338290896,-20,-175,21162222957
"183","X1961","Cambodia",5564215,286,0.051399883002364,13,105,21162222957
"184","X1961","Panama",1161708,1103.666667,0.950037932653185,9,-80,21162222957
"185","X1961","Ethiopia",23084406,341,0.014771876737916,8,38,21162222957
"186","X1961","Honduras",2066098,737,0.35671105630033,15,-86.5,21162222957
"187","X1961","Ghana",6958364,1345.666667,0.193388369258444,8,-2,21162222957
"188","X1961","Nepal",9917687,80.66666667,0.008133616907518,28,84,21162222957
"189","X1961","Somalia",2884550,88,0.030507358166785,6,48,21162222957
"190","X1961","Brazil",74975656,49199.33333,0.6562041062146,-10,-55,21162222957
"191","X1961","Burkina Faso",4956921,91.66666667,0.018492662414161,13,-2,21162222957
"192","X1961","Mali",5314146,117.3333333,0.022079433522025,17,-4,21162222957
"193","X1961","Paraguay",1956714,363,0.185515103382508,-22.993333,-57.996389,21162222957
"194","X1961","Iraq",7570069,8719.333333,1.15181689008823,33,44,21162222957
"195","X1961","Papua New Guinea",2001049,201.6666667,0.100780473974734,-6,147,21162222957
"196","X1961","Singapore",1690329,2093.666667,1.23861488897526,1.366667,103.8,21162222957
"197","X1961","Cayman Islands",8277,11,1.3289839313761,19.5,-80.666667,21162222957
"198","X1961","Haiti",3944791,297,0.075289159805931,19,-72.416667,21162222957
"199","X1961","Qatar",51093,161.3333333,3.15764064222757,25.5,51.25,21162222957
"200","X1961","Belgium",9211920,92785,10.0722759207635,50.833333,4,21162222957
"201","X1961","Luxembourg",317204,11590.33333,36.5390516302863,49.75,6.166667,21162222957
"202","X1961","Ireland",2828481,12364,4.37125085867644,53,-8,21162222957
"203","X1961","Comoros",196605,11,0.055949746954554,-12.166667,44.25,21162222957
"204","X1961","Albania",1661158,2280.666667,1.37293783412936,41,20,21162222957
"205","X1961","Argentina",20961000,51175.66667,2.44147066774804,-34,-64,21162222957
